Gesture_Sequence,Natural_Sentence
No+Please,"No, I don't think so. Please reconsider."
No+Sorry,"No, I am afraid not. I apologize."
No+Help,"Incorrect. Could you please help me figure this out?"
No+Stop,"Nope, that is not what I meant. Please wait right there."
No+Wait,"Negative. Could you please hold on a moment?"
No+Hungry,"Nope, that's not right. Also, I'm hungry."
No+Water,"Incorrect. And could you get me a drink?"
No+Pain,"Negative. And I am suffering from some pain."
No+Emergency,"Nope, that's not it. But this is an emergency!"
No+Home,"Nope, that is incorrect. I want to go home now."
Please+Hello,"If you would, please... and hello."
Please+Goodbye,"Please, if you will... and goodbye for now."
Please+Yes,"If you would, please... and yes, that is correct."
Please+No,"If you would, please... and no, that is not right."
Please+ThankYou,"If you would, please... and thank you very much."
Please+Sorry,"If you would, please... and I am sorry."
Please+Hungry,"Please, if you could help, I need some food."
Please+Water,"Kindly, I am in need of some water."
Please+Pain,"Kindly, I must tell you that I'm in pain."
Please+Emergency,"If you would, please... this is an emergency!"
Please+Home,"Kindly, would you please take me home?"
ThankYou+Hello,"Thank you so much. And hello to you."
ThankYou+Goodbye,"Thank you very much. And goodbye for now."
ThankYou+Yes,"Thank you. And yes, that is correct."
ThankYou+No,"Thanks. But no, that is incorrect."
ThankYou+Please,"Thank you. And if you would, please."
ThankYou+Sorry,"Thank you. And I am sorry for the trouble."
ThankYou+Help,"Thanks. Could you please help me with this?"
ThankYou+Stop,"Thanks. Could you please wait right there?"
ThankYou+Wait,"Thanks. Could you give me just a second?"
ThankYou+Hungry,"Much appreciated. Also, I need some food."
ThankYou+Water,"Much appreciated. And I need some water."
ThankYou+Pain,"Much appreciated. I should mention I am in pain."
ThankYou+Emergency,"Thank you. This is an emergency situation!"
ThankYou+Home,"Much appreciated. Now, let's go home."
Sorry+Hello,"I must apologize. And also, hello."
Sorry+Goodbye,"My apologies. And goodbye for now."
Sorry+Please,"I am sorry. If you would, please."
Sorry+ThankYou,"I am sorry. And thank you for understanding."
Sorry+Help,"I apologize. Could you please help me?"
Sorry+Stop,"I apologize. Could you please stop?"
Sorry+Hungry,"I am sorry to bother you, but I need food."
Sorry+Water,"I apologize for the trouble, but I'm thirsty."
Sorry+Pain,"I apologize, but I am in some pain."
Sorry+Emergency,"I apologize, but this is an emergency!"
Sorry+Home,"I apologize, but I really want to go home."
Help+Hello,"I need your assistance. And also, hello."
Help+Goodbye,"Please help me. And now, goodbye."
Help+Yes,"Please help me. And yes, that is right."
Help+No,"I need assistance. And no, that is incorrect."
Help+Please,"I need your assistance. If you would, please."
Help+ThankYou,"I need your assistance. Thank you in advance."
Help+Sorry,"I need your assistance. And I am sorry."
Help+Stop,"Please assist me. And could you wait right there?"
Help+Wait,"Please help me. Could you give me a second?"
Help+Hungry,"I need your assistance. I also need some food."
Help+Water,"Please assist me. Could you get me a drink?"
Help+Pain,"I need your assistance. I am in pain."
Help+Emergency,"I need your assistance. This is urgent!"
Help+Home,"Please help me. I need to go home."
Stop+Hello,"Please stop. And hello to you."
Stop+Goodbye,"Please stop. And now, goodbye."
Stop+Yes,"Please halt. And yes, that is correct."
Stop+No,"Please halt. And no, that is incorrect."
Stop+Please,"Please stop. If you would, please."
Stop+ThankYou,"Please wait right there. Thank you."
Stop+Sorry,"Please stop. I am sorry for the interruption."
Stop+Help,Please stop. I need your assistance.
Stop+Wait,Please wait right there. Could you hold on?
Stop+Hungry,Please stop. I need to get some food.
Stop+Water,"Please wait right there. I need some water."
Stop+Pain,"Please wait right there. I am in pain."
Stop+Emergency,"Please wait right there. This is an emergency!"
Stop+Home,"Please wait right there. I want to go home."
Wait+Hello,"Please hold on a moment. And hello."
Wait+Goodbye,"Wait a moment, please. And goodbye for now."
Wait+Yes,"Please hold on. And yes, that is correct."
Wait+No,"Please hold on. And no, that is incorrect."
Wait+Please,"Please wait a moment. If you would, please."
Wait+ThankYou,"Give me a second, please. Thank you."
Wait+Sorry,"Please hold on. I am sorry."
Wait+Help,"Give me a second, please. I need your help."
Wait+Stop,"Please hold on. Could you stop?"
Wait+Hungry,"Wait a moment, please. Could you get me some food?"
Wait+Water,"Please hold on. I'm very thirsty."
Wait+Pain,"Give me a second, please. I am in pain."
Wait+Emergency,"Please hold on. This is urgent!"
Wait+Home,"Give me a second, please. Let's go home."
Hungry+Hello,"I need some food. And hello to you."
Hungry+Goodbye,"Please get me something to eat. And now, goodbye."
Hungry+Yes,"I'm hungry. And yes, that is correct."
Hungry+No,"I'm hungry. And no, that is not right."
Hungry+ThankYou,"I need food. Thank you for your help."
Hungry+Sorry,"I'm hungry. I'm sorry for the interruption."
Hungry+Help,"Please get me something to eat. I need your assistance."
Hungry+Stop,"I need food. Please stop for a moment."
Hungry+Wait,"Please get me something to eat. Give me a second."
Hungry+Water,"I need food. And I also need water."
Hungry+Pain,"I'm hungry, and I am also in pain."
Hungry+Emergency,"I'm hungry, but this is an emergency situation!"
Hungry+Home,"I'm hungry. Please take me home."
Water+Hello,"I need a drink. And hello."
Water+Goodbye,"Please get me a drink. And goodbye for now."
Water+Yes,"I need water. And yes, that is correct."
Water+No,"Please get me a drink. And no, that's not right."
Water+ThankYou,"I need water. Much appreciated."
Water+Sorry,"I need water. My apologies for asking."
Water+Help,"Please get me a drink. I need your assistance."
Water+Stop,"I'm thirsty. Please halt for a moment."
Water+Wait,"I need water. Please wait a moment."
Water+Hungry,"I'm thirsty, and I could also use something to eat."
Water+Pain,"I'm thirsty, and I am suffering from pain."
Water+Emergency,"Please get me a drink. This is urgent!"
Water+Home,"Please get me a drink, and then take me home."
Pain+Hello,"I am in pain. And hello."
Pain+Goodbye,"I am suffering. And goodbye for now."
Pain+Yes,"I am in pain. And indeed, that is correct."
Pain+No,"It hurts. And no, that is not right."
Pain+Please,"I am in pain. Kindly, if you would."
Pain+ThankYou,"I am in pain. Thank you for listening."
Pain+Sorry,"I'm in pain. I apologize for the trouble."
Pain+Stop,"I'm in pain. Please halt what you're doing."
Pain+Wait,"It hurts. Please hold on a moment."
Pain+Hungry,"It hurts, and I need some food."
Pain+Water,"I'm in pain, and I need water."
Pain+Emergency,"I'm in pain, and this is an emergency situation!"
Pain+Home,"I'm in pain. Please let's go home."
Emergency+Hello,"This is an emergency! And hello."
Emergency+Goodbye,"This is an emergency! And goodbye for now."
Emergency+Yes,"This is an emergency! And yes, that is correct."
Emergency+No,"This is an emergency! And no, that is incorrect."
Emergency+Please,"This is an emergency situation! Please, if you would."
Emergency+ThankYou,"This is urgent! Thank you for your help."
Emergency+Sorry,"This is urgent! I am sorry for the alarm."
Emergency+Wait,"This is an emergency! Please wait a moment."
Emergency+Hungry,"This is an emergency! And I need something to eat."
Emergency+Water,"This is an emergency! And I need a drink."
Emergency+Pain,This is urgent! And I am in pain.
Emergency+Home,This is an emergency! Please take me home.
Home+Hello,"I want to go home. And hello."
Home+Goodbye,Let's go home now. And goodbye.
Home+Yes,"Let's go home. And yes, that is correct."
Home+No,"Let's go home. And no, that is incorrect."
Home+ThankYou,I want to go home. Much appreciated.
Home+Sorry,Let's go home. I am sorry.
Home+Help,I want to go home. Please help me.
Home+Stop,I want to go home. Please halt.
Home+Wait,Let's go home. Please hold on.
Home+Hungry,Let's go home. I need some food.
Home+Water,I want to go home. I need some water.
Home+Pain,Take me home. I am in pain.
Home+Emergency,Let's go home. This is an emergency!
Hello+Goodbye+Yes,"Hello there. And goodbye. Yes, that is correct."
Hello+Goodbye+No,"Hello there. Goodbye. And no, that is incorrect."
Hello+Goodbye+Please,"Hello. Goodbye for now. And if you would, please."
Hello+Goodbye+ThankYou,"Hello, and goodbye. Much appreciated."
Hello+Goodbye+Sorry,"Hello, and goodbye. My apologies for everything."
Hello+Goodbye+Help,"Hello. Goodbye. And I need your assistance."
Hello+Goodbye+Stop,"Hello. Goodbye. And please, halt."
Hello+Goodbye+Wait,"Hello. I am leaving now. Please wait a moment."
Hello+Goodbye+Hungry,"Hello. Goodbye. And I'm hungry."
Hello+Goodbye+Water,"Hello. Goodbye. And I'm very thirsty."
Hello+Goodbye+Pain,"Hello. Goodbye. And I am suffering."
Hello+Goodbye+Emergency,"Hello. Goodbye. And this is an emergency situation!"
Hello+Goodbye+Home,"Hello. Goodbye. And please take me home."
Hello+Yes+Goodbye,"Hello. Yes, that is correct. And goodbye."
Hello+Yes+No,"Hello. Yes, that's right. And no to the other part."
Hello+Yes+Please,"Hello. Yes, that is correct. And please, if you would."
Hello+Yes+ThankYou,"Hello. Yes, thank you for that."
Hello+Yes+Sorry,"Hello. Yes, that's right. And I am sorry."
Hello+Yes+Help,"Hello. Yes, I agree. And I need your assistance."
Hello+Yes+Stop,"Hello. Yes, that's correct. And please, wait right there."
Hello+Yes+Wait,"Hello. Yes, that's right. And please wait a moment."
Hello+Yes+Hungry,"Hello. Yes, correct. And I am hungry."
Hello+Yes+Water,"Hello. Yes. And I need some water."
Hello+Yes+Pain,"Hello. Yes. And it hurts."
Hello+Yes+Emergency,"Hello. Yes, that is correct. This is an emergency!"
Hello+Yes+Home,"Hello. Yes, that's right. Now, let's go home."
Hello+No+Goodbye,"Hello. No, that is incorrect. And goodbye."
Hello+No+Yes,"Hello. No, that's wrong. But yes to the other part."
Hello+No+Please,"Hello. No, I don't think so. And please."
Hello+No+ThankYou,"Hello. No, thank you anyway."
Hello+No+Sorry,"Hello. No. And I am sorry."
Hello+No+Help,"Hello. No, that's not it. I need your assistance."
Hello+No+Stop,"Hello. No. And please, stop."
Hello+No+Wait,"Hello. No. And please hold on."
Hello+No+Hungry,"Hello. No, that's not right. And I'm hungry."
Hello+No+Water,"Hello. No. And I'm thirsty."
Hello+No+Pain,"Hello. No. And I am in pain."
Hello+No+Emergency,"Hello. No, that is incorrect. This is an emergency!"
Hello+No+Home,"Hello. No. But I want to go home."
Hello+Please+Goodbye,"Hello. If you would, please. And goodbye."
Hello+Please+Yes,"Hello. Please, if you would. And yes, that is correct."
Hello+Please+No,"Hello. Please. And no, that is incorrect."
Hello+Please+ThankYou,"Hello. If you would, please. And thank you."
Hello+Please+Sorry,"Hello. Please. And I am sorry."
Hello+Please+Stop,"Hello. Please stop what you are doing."
Hello+Please+Wait,"Hello. Please wait just a moment."
Hello+Please+Hungry,"Hello. If you would, please. I am hungry."
Hello+Please+Water,"Hello. Please, could you get me a drink?"
Hello+Please+Pain,"Hello. If you would, please. It hurts."
Hello+Please+Emergency,"Hello. Please, this is an emergency situation!"
Hello+Please+Home,"Hello. Please, would you take me home?"
Hello+ThankYou+Goodbye,"Hello. Thank you. And goodbye for now."
Hello+ThankYou+Yes,"Hello. Thank you. And yes, that is correct."
Hello+ThankYou+No,"Hello. Thanks. And no, that is incorrect."
Hello+ThankYou+Please,"Hello. Much appreciated. If you would, please."
Hello+ThankYou+Sorry,"Hello. Thanks. And I am sorry."
Hello+ThankYou+Help,"Hello. Thanks. I need your assistance."
Hello+ThankYou+Stop,"Hello. Much appreciated. And please halt."
Hello+ThankYou+Wait,"Hello. Much appreciated. And please give me a second."
Hello+ThankYou+Hungry,"Hello. Much appreciated. And I need something to eat."
Hello+ThankYou+Water,"Hello. Thank you. And I need a drink."
Hello+ThankYou+Pain,"Hello. Thank you. And I am in pain."
Hello+ThankYou+Emergency,"Hello. Thank you. And this is an emergency!"
Hello+ThankYou+Home,"Hello. Much appreciated. And I want to go home."
Hello+Sorry+Goodbye,"Hello. My apologies. And goodbye."
Hello+Sorry+Yes,"Hello. I am sorry. And yes, that is correct."
Hello+Sorry+No,"Hello. I apologize. And no, that is incorrect."
Hello+Sorry+Please,"Hello. I apologize. If you would, please."
Hello+Sorry+ThankYou,"Hello. My apologies. And thank you."
Hello+Sorry+Help,"Hello. I'm sorry. I need your assistance."
Hello+Sorry+Stop,"Hello. Sorry. Could you please wait right there?"
Hello+Sorry+Wait,"Hello. Sorry. Could you please hold on?"
Hello+Sorry+Hungry,"Hello. My apologies. I need some food."
Hello+Sorry+Water,"Hello. I apologize. I'm very thirsty."
Hello+Sorry+Pain,"Hello. Sorry. I am suffering from pain."
Hello+Sorry+Emergency,"Hello. My apologies. This is urgent!"
Hello+Sorry+Home,"Hello. I apologize. Please let's go home."
Hello+Help+Goodbye,"Hello. I need your assistance. And goodbye."
Hello+Help+Yes,"Hello. Please assist me. And yes, that is correct."
Hello+Help+No,"Hello. I need assistance. And no, that is incorrect."
Hello+Help+Please,"Hello. I need your help. Please, if you would."
Hello+Help+ThankYou,"Hello. Help me, please. Much appreciated."
Hello+Help+Sorry,"Hello. I need your assistance. And I am sorry."
Hello+Help+Stop,"Hello. I need your help. Please, stop."
Hello+Help+Wait,"Hello. Help me. Please wait a moment."
Hello+Help+Hungry,"Hello. Please assist me. I also need food."
Hello+Help+Water,"Hello. Please help me. I need some water."
Hello+Help+Pain,"Hello. I need your help. I am in pain."
Hello+Help+Emergency,"Hello. I need your assistance. This is urgent!"
Hello+Help+Home,"Hello. Please help me. I need to go home."
Hello+Stop+Goodbye,"Hello. Please stop. And goodbye."
Hello+Stop+Yes,"Hello. Please wait right there. And yes, that is correct."
Hello+Stop+No,"Hello. Please halt. And no, that is incorrect."
Hello+Stop+Please,"Hello. Please stop. And if you would, please."
Hello+Stop+ThankYou,"Hello. Please halt. And much appreciated."
Hello+Stop+Sorry,"Hello. Please stop. And I am sorry."
Hello+Stop+Help,"Hello. Please wait right there. And I need your assistance."
Hello+Stop+Wait,"Hello. Please wait right there. And hold on."
Hello+Stop+Hungry,"Hello. Please halt. And I need food."
Hello+Stop+Water,"Hello. Please stop. And I need a drink."
Hello+Stop+Pain,"Hello. Please stop. And I am in pain."
Hello+Stop+Emergency,"Hello. Please wait right there. This is an emergency!"
Hello+Stop+Home,"Hello. Please stop. And I want to go home."
Hello+Wait+Goodbye,"Hello. Give me a second. And goodbye."
Hello+Wait+Yes,"Hello. Wait a moment, please. And yes, that is correct."
Hello+Wait+No,"Hello. Please hold on. And no, that is incorrect."
Hello+Wait+Please,"Hello. Please wait a moment. If you would, please."
Hello+Wait+ThankYou,"Hello. Give me a second. And much appreciated."
Hello+Wait+Sorry,"Hello. Please hold on. And I am sorry."
Hello+Wait+Help,"Hello. Please wait a moment. And I need your assistance."
Hello+Wait+Stop,"Hello. Please wait a moment. And please stop."
Hello+Wait+Hungry,"Hello. Give me a second. I need something to eat."
Hello+Wait+Water,"Hello. Give me a second. I need a drink."
Hello+Wait+Pain,"Hello. Give me a second. I am in pain."
Hello+Wait+Emergency,"Hello. Give me a second. This is an emergency!"
Hello+Wait+Home,"Hello. Please wait a moment. I want to go home."
Hello+Hungry+Goodbye,"Hello. I need something to eat. And goodbye."
Hello+Hungry+Yes,"Hello. I need food. And yes, that is correct."
Hello+Hungry+No,"Hello. I'm hungry. And no, that is incorrect."
Hello+Hungry+ThankYou,"Hello. Please get me something to eat. Thanks."
Hello+Hungry+Sorry,"Hello. I need food. And I am sorry."
Hello+Hungry+Help,"Hello. I'm hungry. And I need your assistance."
Hello+Hungry+Stop,"Hello. I need food. And please stop."
Hello+Hungry+Wait,"Hello. I need food. And please hold on."
Hello+Hungry+Water,"Hello. I'm hungry, and I'm also thirsty."
Hello+Hungry+Pain,"Hello. I need food, and I am in pain."
Hello+Hungry+Emergency,"Hello. I need food, and this is an emergency!"
Hello+Hungry+Home,"Hello. I'm hungry. And I want to go home."
Hello+Water+Goodbye,"Hello. I need a drink. And goodbye."
Hello+Water+Yes,"Hello. I need water. And yes, that is correct."
Hello+Water+No,"Hello. I need a drink. And no, that is incorrect."
Hello+Water+ThankYou,"Hello. Please get me a drink. Thank you."
Hello+Water+Sorry,"Hello. I'm thirsty. And I am sorry."
Hello+Water+Help,"Hello. I'm thirsty. And I need your assistance."
Hello+Water+Stop,"Hello. I'm thirsty. And please wait right there."
Hello+Water+Wait,"Hello. I'm thirsty. And please give me a second."
Hello+Water+Hungry,"Hello. I need a drink, and I also need something to eat."
Hello+Water+Pain,"Hello. I need a drink, and I am in pain."
Hello+Water+Emergency,"Hello. I'm thirsty. And this is an emergency!"
Hello+Water+Home,"Hello. I'm thirsty. And I want to go home."
Hello+Pain+Goodbye,"Hello. I am in pain. And goodbye."
Hello+Pain+Yes,"Hello. I am in pain. And yes, that is correct."
Hello+Pain+No,"Hello. I am suffering. And no, that is incorrect."
Hello+Pain+Please,"Hello. It hurts. If you would, please."
Hello+Pain+ThankYou,"Hello. I'm in pain. Thank you."
Hello+Pain+Sorry,"Hello. It hurts. And I am sorry."
Hello+Pain+Help,"Hello. It hurts. Please help me."
Hello+Pain+Stop,"Hello. I'm in pain. Please stop."
Hello+Pain+Wait,"Hello. I'm in pain. Please give me a second."
Hello+Pain+Hungry,"Hello. I'm in pain, and I need something to eat."
Hello+Pain+Water,"Hello. I'm in pain, and I'm thirsty."
Hello+Pain+Emergency,"Hello. It hurts. And this is an emergency!"
Hello+Pain+Home,"Hello. It hurts. And I want to go home."
Hello+Emergency+Goodbye,"Hello. This is urgent! And goodbye."
Hello+Emergency+Yes,"Hello. This is an emergency! And yes, that is correct."
Hello+Emergency+No,"Hello. This is urgent! And no, that is incorrect."
Hello+Emergency+Please,"Hello. This is an emergency! Please, if you would."
Hello+Emergency+ThankYou,"Hello. This is an emergency! Thank you."
Hello+Emergency+Sorry,"Hello. This is urgent! And I am sorry."
Hello+Emergency+Help,"Hello. This is an emergency! Please help me."
Hello+Emergency+Stop,"Hello. This is urgent! Please wait right there."
Hello+Emergency+Wait,"Hello. This is an emergency! Please wait a moment."
Hello+Emergency+Hungry,"Hello. This is urgent! And I'm hungry."
Hello+Emergency+Water,"Hello. This is an emergency! And I'm thirsty."
Hello+Emergency+Pain,"Hello. This is an emergency! And I'm in pain."
Hello+Emergency+Home,"Hello. This is an emergency! Please take me home."
Hello+Home+Goodbye,"Hello. I want to go home. And goodbye."
Hello+Home+Yes,"Hello. I want to go home. And yes, that is correct."
Hello+Home+No,"Hello. Take me home. And no, that is incorrect."
Hello+Home+Please,"Hello. I want to go home. Please, if you would."
Hello+Home+ThankYou,"Hello. I want to go home. Thank you."
Hello+Home+Sorry,"Hello. I want to go home. And I am sorry."
Hello+Home+Help,"Hello. Please take me home. And I need your help."
Hello+Home+Stop,"Hello. Please take me home. And please, stop."
Hello+Home+Wait,"Hello. Please take me home. And hold on."
Hello+Home+Hungry,"Hello. Let's go home. I need some food."
Hello+Home+Water,"Hello. Take me home. I'm thirsty."
Hello+Home+Pain,"Hello. Take me home. It hurts."
Hello+Home+Emergency,"Hello. I want to go home. This is an emergency!"
Goodbye+Hello+Yes,"Goodbye. And hello again. Yes, that is correct."
Goodbye+Hello+No,"Goodbye. And hello. No, that is incorrect."
Goodbye+Hello+Please,"Goodbye. And hello. Please, if you would."
Goodbye+Hello+ThankYou,"Goodbye. And hello. Thank you very much."
Goodbye+Hello+Sorry,"Goodbye. And hello. My apologies."
Goodbye+Hello+Help,"Goodbye. And hello. I need your assistance."
Goodbye+Hello+Stop,"Goodbye. And hello. Please halt."
Goodbye+Hello+Wait,"Goodbye. And hello. Please wait a moment."
Goodbye+Hello+Hungry,"Goodbye. And hello. I'm hungry."
Goodbye+Hello+Water,"Goodbye. And hello. I need a drink."
Goodbye+Hello+Pain,"Goodbye. And hello. It hurts."
Goodbye+Hello+Emergency,"Goodbye. And hello. This is an emergency!"
Goodbye+Hello+Home,"Goodbye. And hello. Please take me home."
Goodbye+Yes+Hello,"Goodbye. Yes, that is correct. And hello."
Goodbye+Yes+No,"Goodbye. Yes. And no to that other part."
Goodbye+Yes+Please,"Goodbye. Yes. And please, if you would."
Goodbye+Yes+ThankYou,"Goodbye. Yes, thank you very much."
Goodbye+Yes+Sorry,"Goodbye. Yes, that's right. And I am sorry."
Goodbye+Yes+Help,"Goodbye. Yes. And I need your help."
Goodbye+Yes+Stop,"Goodbye. Yes. And please, wait right there."
Goodbye+Yes+Wait,"Goodbye. Yes. And please wait a moment."
Goodbye+Yes+Hungry,"Goodbye. Yes. And I need some food."
Goodbye+Yes+Water,"Goodbye. Yes. And I need a drink."
Goodbye+Yes+Pain,"Goodbye. Yes. And I am in pain."
Goodbye+Yes+Emergency,"Goodbye. Yes. And this is an emergency!"
Goodbye+Yes+Home,"Goodbye. Yes. And I want to go home."
Goodbye+No+Hello,"Goodbye. No, that is incorrect. And hello."
Goodbye+No+Yes,"Goodbye. No. And yes to the other part."
Goodbye+No+Please,"Goodbye. No. And please, if you would."
Goodbye+No+ThankYou,"Goodbye. No. And thank you anyway."
Goodbye+No+Sorry,"Goodbye. No. And I am sorry."
Goodbye+No+Help,"Goodbye. No. And I need your help."
Goodbye+No+Stop,"Goodbye. No. And please wait right there."
Goodbye+No+Wait,"Goodbye. No. And please wait a moment."
Goodbye+No+Hungry,"Goodbye. No. And I need something to eat."
Goodbye+No+Water,"Goodbye. No. And I need a drink."
Goodbye+No+Pain,"Goodbye. No. And it hurts."
Goodbye+No+Emergency,"Goodbye. No. And this is an emergency!"
Goodbye+No+Home,"Goodbye. No. And I want to go home."
Goodbye+Please+Hello,"Goodbye. If you would, please. And hello."
Goodbye+Please+Yes,"Goodbye. If you would, please. And yes."
Goodbye+Please+No,"Goodbye. If you would, please. And no."
Goodbye+Please+ThankYou,"Goodbye. If you would, please. And thank you."
Goodbye+Please+Sorry,"Goodbye. If you would, please. And I am sorry."
Goodbye+Please+Help,"Goodbye. If you would, please. I need your assistance."
Goodbye+Please+Stop,"Goodbye. If you would, please stop."
Goodbye+Please+Wait,"Goodbye. If you would, please wait a moment."
Goodbye+Please+Hungry,"Goodbye. If you would, please, I need food."
Goodbye+Please+Water,"Goodbye. If you would, please, I'm thirsty."
Goodbye+Please+Pain,"Goodbye. If you would, please, I'm in pain."
Goodbye+Please+Emergency,"Goodbye. Please, this is an emergency!"
Goodbye+Please+Home,"Goodbye. If you would, please take me home."
Goodbye+ThankYou+Hello,"Goodbye. Thank you. And hello."
Goodbye+ThankYou+Yes,"Goodbye. Thank you. And yes, that is correct."
Goodbye+ThankYou+No,"Goodbye. Thanks. And no, that is incorrect."
Goodbye+ThankYou+Please,"Goodbye. Thank you. And if you would, please."
Goodbye+ThankYou+Sorry,"Goodbye. Thanks. And I am sorry."
Goodbye+ThankYou+Help,"Goodbye. Thanks. And I need your assistance."
Goodbye+ThankYou+Stop,"Goodbye. Thanks. And please, wait right there."
Goodbye+ThankYou+Wait,"Goodbye. Thank you. And please wait a moment."
Goodbye+ThankYou+Hungry,"Goodbye. Thanks. And I need something to eat."
Goodbye+ThankYou+Water,Goodbye. Thanks. And I need a drink.
Goodbye+ThankYou+Pain,Goodbye. Thanks. And it hurts.
Goodbye+ThankYou+Emergency,Goodbye. Thank you. And this is an emergency!
Goodbye+ThankYou+Home,Goodbye. Thank you. And please take me home.
Goodbye+Sorry+Hello,"Goodbye. I apologize. And hello."
Goodbye+Sorry+Yes,"Goodbye. My apologies. And yes, that is correct."
Goodbye+Sorry+No,"Goodbye. I am sorry. And no, that is incorrect."
Goodbye+Sorry+Please,"Goodbye. I apologize. And if you would, please."
Goodbye+Sorry+ThankYou,"Goodbye. My apologies. And thank you."
Goodbye+Sorry+Help,"Goodbye. I'm sorry. And I need your assistance."
Goodbye+Sorry+Stop,"Goodbye. My apologies. And please wait right there."
Goodbye+Sorry+Wait,"Goodbye. I'm sorry. And please wait a moment."
Goodbye+Sorry+Hungry,"Goodbye. My apologies. And I need food."
Goodbye+Sorry+Water,Goodbye. I apologize. And I need water.
Goodbye+Sorry+Pain,Goodbye. My apologies. And it hurts.
Goodbye+Sorry+Emergency,Goodbye. I'm sorry. And this is an emergency!
Goodbye+Sorry+Home,Goodbye. My apologies. And let's go home.
Goodbye+Help+Hello,"Goodbye. I need your help. And hello."
Goodbye+Help+Yes,"Goodbye. Please assist me. And yes."
Goodbye+Help+No,"Goodbye. I need assistance. And no."
Goodbye+Help+Please,Goodbye. Please help me. If you would.
Goodbye+Help+ThankYou,Goodbye. I need your help. Thank you.
